cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy,pred_linr,pred_gbr,pred_logr
2004-05-04,1119.550000,0.176900,0.547600,0.169200,-0.064200,-0.332600,-0.237800,-0.268000,-0.226600,-0.044800,0.020000,0.050000,0.091131,0.052005,0.510727
2004-05-05,1121.530000,-0.672300,0.180300,0.423700,0.171100,-0.015800,-0.247400,-0.178600,-0.212500,-0.181900,0.030000,0.050000,0.029053,0.052005,0.507326
2004-05-06,1113.990000,-1.372500,-0.248700,-0.104300,0.149600,0.001800,-0.125800,-0.308600,-0.240600,-0.263700,0.040000,0.050000,0.054488,0.033823,0.529360
2004-05-07,1098.700000,-1.054000,-1.031800,-0.625300,-0.421900,-0.154400,-0.227400,-0.304300,-0.442100,-0.366400,0.050000,0.050000,0.055775,0.033823,0.531497
2004-05-10,1087.120000,0.766200,-1.229300,-1.042800,-0.733500,-0.548100,-0.303100,-0.344700,-0.397400,-0.509800,0.010000,0.050000,0.133925,0.033823,0.520470
2004-05-11,1095.450000,0.167100,-0.148900,-0.565000,-0.593400,-0.436900,-0.332100,-0.152800,-0.208100,-0.270300,0.020000,0.050000,0.102953,0.033823,0.508840
2004-05-12,1097.280000,-0.076600,0.463400,-0.043300,-0.381600,-0.441500,-0.336700,-0.261300,-0.113200,-0.166800,0.030000,0.050000,0.090487,0.052005,0.502976
2004-05-13,1096.439900,-0.067500,0.045100,0.283400,-0.051600,-0.320500,-0.380800,-0.299700,-0.238400,-0.109200,0.040000,0.050000,0.023774,0.033823,0.506096
2004-05-14,1095.700000,-1.058700,-0.072100,0.007600,0.195700,-0.054800,-0.278400,-0.336100,-0.270800,-0.219500,0.050000,0.050000,0.024111,0.033823,0.531911
2004-05-17,1084.100000,0.681700,-0.566100,-0.402300,-0.259500,-0.055200,-0.222700,-0.390500,-0.426900,-0.358400,0.010000,0.050000,0.126810,0.033823,0.533976
2004-05-18,1091.490000,-0.257400,-0.193500,-0.151300,-0.132600,-0.072500,0.066600,-0.094300,-0.257300,-0.304700,0.020000,0.050000,0.099580,0.033823,0.508680
2004-05-19,1088.680100,0.046800,0.210100,-0.215100,-0.178000,-0.157600,-0.103300,0.020400,-0.114700,-0.257300,0.030000,0.050000,0.068581,0.052005,0.504877
2004-05-20,1089.189900,0.401200,-0.105600,0.155700,-0.149500,-0.133000,-0.123600,-0.081900,0.023700,-0.096800,0.040000,0.050000,0.030302,0.033823,0.490591
2004-05-21,1093.560100,0.169200,0.223600,0.063300,0.216800,-0.039300,-0.044000,-0.048700,-0.021600,0.065500,0.050000,0.050000,0.013099,0.052005,0.512492
2004-05-24,1095.410000,1.610400,0.284200,0.205300,0.089800,0.207200,-0.004400,-0.013500,-0.021400,-0.000400,0.010000,0.050000,0.081745,0.052005,0.505539
2004-05-25,1113.050000,0.169800,0.882500,0.722600,0.555000,0.393400,0.440500,0.226600,0.189800,0.160100,0.020000,0.050000,0.057676,0.052005,0.487256
2004-05-26,1114.939900,0.568600,0.876600,0.643300,0.583000,0.476900,0.355600,0.401200,0.219400,0.187500,0.030000,0.050000,0.011005,0.052005,0.487415
2004-05-27,1121.280000,-0.053500,0.368000,0.772400,0.623700,0.579400,0.491900,0.386100,0.422100,0.258600,0.040000,0.050000,-0.017302,0.052005,0.474129
2004-05-28,1120.680100,0.046400,0.256000,0.227300,0.565300,0.487300,0.472900,0.413000,0.330300,0.368400,0.050000,0.050000,-0.018522,0.052005,0.495719
2004-06-01,1121.200000,0.338000,-0.003600,0.186100,0.182000,0.461300,0.413400,0.411400,0.366700,0.298400,0.020000,0.060000,0.033608,0.033823,0.479797
2004-06-02,1124.990000,-0.742200,0.191900,0.110200,0.223900,0.213100,0.440400,0.402400,0.402000,0.363300,0.030000,0.060000,0.025961,0.052005,0.478301
2004-06-03,1116.640000,0.524800,-0.203400,-0.120100,-0.103500,0.030300,0.053400,0.271000,0.258500,0.273900,0.040000,0.060000,-0.001435,0.033823,0.485394
2004-06-04,1122.500000,1.596400,-0.111200,0.038600,0.040600,0.021800,0.112400,0.120500,0.302500,0.287900,0.050000,0.060000,-0.001247,0.033823,0.488614
2004-06-07,1140.420000,0.154300,1.050900,0.456600,0.426700,0.350900,0.283700,0.323900,0.304700,0.445800,0.010000,0.060000,0.058315,0.052005,0.491524
2004-06-08,1142.180100,-0.949900,0.862200,0.750100,0.380200,0.371500,0.317700,0.264900,0.302300,0.287700,0.020000,0.060000,0.042525,0.052005,0.478216
2004-06-09,1131.330000,0.454300,-0.399800,0.258600,0.323800,0.112200,0.149500,0.134800,0.111400,0.161600,0.030000,0.060000,-0.005700,0.033823,0.488856
2004-06-10,1136.470000,-0.983700,-0.251800,-0.115800,0.307000,0.349600,0.169100,0.192900,0.174700,0.149600,0.040000,0.060000,0.002330,0.033823,0.508818
2004-06-14,1125.290000,0.597200,-0.267000,-0.497800,-0.333600,0.049200,0.127200,0.003800,0.045200,0.045400,0.010000,0.060000,0.123753,0.033823,0.508186
2004-06-15,1132.010000,0.136900,-0.197600,0.020000,-0.224700,-0.148400,0.139700,0.193800,0.077600,0.106300,0.020000,0.060000,0.052527,0.033823,0.475865
2004-06-16,1133.560100,-0.133200,0.365000,-0.085800,0.049300,-0.152300,-0.100900,0.139300,0.186700,0.084200,0.030000,0.060000,0.026655,0.052005,0.494645
2004-06-17,1132.050000,0.262400,0.001800,0.199000,-0.097700,0.012700,-0.149200,-0.105500,0.105300,0.151100,0.040000,0.060000,0.025967,0.033823,0.497828
2004-06-18,1135.020000,-0.415800,0.064400,0.088500,0.214700,-0.025600,0.054300,-0.090300,-0.059600,0.122600,0.050000,0.060000,0.021174,0.033823,0.513022
2004-06-21,1130.300000,0.363600,-0.077300,-0.096000,-0.037700,0.088500,-0.090900,-0.013000,-0.131200,-0.099200,0.010000,0.060000,0.076639,0.033823,0.510676
2004-06-22,1134.410000,0.850700,-0.026900,0.069400,0.018800,0.042400,0.134200,-0.026000,0.034000,-0.076200,0.020000,0.060000,0.079115,0.033823,0.496975
2004-06-23,1144.060100,-0.298100,0.603900,0.265200,0.264300,0.185000,0.177000,0.236400,0.083700,0.124800,0.030000,0.060000,0.034446,0.052005,0.496294
2004-06-24,1140.650000,-0.545300,0.273100,0.302700,0.123800,0.151300,0.104000,0.108700,0.169100,0.041000,0.040000,0.060000,0.022890,0.052005,0.489770
2004-06-25,1134.430100,-0.095200,-0.423300,0.000600,0.090700,-0.010400,0.034900,0.010900,0.026600,0.089500,0.050000,0.060000,-0.004529,0.033823,0.500676
2004-06-28,1133.350000,0.251500,-0.321900,-0.314200,-0.023300,0.053600,-0.024500,0.016300,-0.002300,0.013100,0.010000,0.060000,0.073352,0.033823,0.510444
2004-06-29,1136.200000,0.408400,0.078000,-0.130700,-0.173000,0.031500,0.086500,0.014800,0.045700,0.025800,0.020000,0.060000,0.091824,0.042469,0.501056
2004-06-30,1140.840000,-1.043100,0.328900,0.188000,0.004200,-0.056600,0.094100,0.132300,0.064000,0.085900,0.030000,0.060000,0.044249,0.052005,0.487958
2004-07-01,1128.939900,-0.315300,-0.319900,-0.129500,-0.120900,-0.206400,-0.221900,-0.068700,-0.015000,-0.059500,0.040000,0.070000,0.013347,0.033823,0.500653
2004-07-02,1125.380000,-0.814800,-0.685800,-0.318700,-0.175900,-0.159800,-0.224600,-0.235300,-0.099400,-0.048100,0.050000,0.070000,0.019304,0.033823,0.516532
2004-07-06,1116.210000,0.189900,-0.567900,-0.730700,-0.443100,-0.303500,-0.268700,-0.308800,-0.307500,-0.178400,0.020000,0.070000,0.110127,0.033823,0.530327
2004-07-07,1118.330000,-0.824400,-0.315500,-0.315800,-0.501500,-0.317400,-0.222000,-0.203800,-0.247100,-0.252900,0.030000,0.070000,0.085198,0.033823,0.506747
2004-07-08,1109.110000,0.333600,-0.318800,-0.486600,-0.443700,-0.566800,-0.402000,-0.307800,-0.281100,-0.311000,0.040000,0.070000,0.063395,0.033823,0.515060
2004-07-09,1112.810100,0.138400,-0.248400,-0.101800,-0.282100,-0.289000,-0.417700,-0.297900,-0.228500,-0.213600,0.050000,0.070000,0.024806,0.033823,0.513538
2004-07-12,1114.350000,0.070900,0.235300,-0.119300,-0.041800,-0.198000,-0.217900,-0.338500,-0.243700,-0.188100,0.010000,0.070000,0.118062,0.052005,0.524520
2004-07-13,1115.140000,-0.329100,0.104500,0.180400,-0.071700,-0.019200,-0.153200,-0.176700,-0.287500,-0.208900,0.020000,0.070000,0.077332,0.052005,0.510637
2004-07-14,1111.470000,-0.430100,-0.129300,-0.040100,0.053000,-0.123300,-0.070900,-0.178400,-0.195800,-0.292200,0.030000,0.070000,0.061838,0.033823,0.511818
2004-07-15,1106.689900,-0.478900,-0.380900,-0.229800,-0.137600,-0.043500,-0.174500,-0.122200,-0.209900,-0.221800,0.040000,0.070000,0.038003,0.033823,0.516244
2004-07-16,1101.390000,-0.044500,-0.456500,-0.414200,-0.292200,-0.205800,-0.115900,-0.218000,-0.166700,-0.239800,0.050000,0.070000,0.055840,0.033823,0.516366
2004-07-19,1100.900000,0.705800,-0.262900,-0.319400,-0.322100,-0.243000,-0.179100,-0.105800,-0.196500,-0.153200,0.010000,0.070000,0.093983,0.033823,0.506743
2004-07-20,1108.670000,-1.334000,0.329500,0.059800,-0.063400,-0.117000,-0.085500,-0.053400,-0.005000,-0.096800,0.020000,0.070000,0.075219,0.052005,0.499111
2004-07-21,1093.880000,0.270600,-0.318700,-0.227300,-0.290800,-0.319100,-0.321000,-0.264500,-0.213800,-0.152800,0.030000,0.070000,0.060836,0.033823,0.512176
2004-07-22,1096.840000,-0.970100,-0.540000,-0.123100,-0.103400,-0.179000,-0.221400,-0.237100,-0.198200,-0.160500,0.040000,0.070000,0.030283,0.033823,0.512558
2004-07-23,1086.200000,-0.196100,-0.351800,-0.685700,-0.335200,-0.276900,-0.311000,-0.328400,-0.328600,-0.283700,0.050000,0.070000,0.068291,0.033823,0.538125
2004-07-26,1084.069900,0.992600,-0.588400,-0.300300,-0.564100,-0.307700,-0.263600,-0.294800,-0.312100,-0.314200,0.010000,0.070000,0.115085,0.033823,0.506158
2004-07-27,1094.830000,0.053900,0.396100,-0.061600,0.021800,-0.253700,-0.092500,-0.085600,-0.135300,-0.168500,0.020000,0.070000,0.081062,0.052005,0.507805
2004-07-28,1095.420000,0.457400,0.518200,0.281600,-0.032600,0.028200,-0.202300,-0.071500,-0.068100,-0.114300,0.030000,0.070000,0.050594,0.052005,0.503312
2004-07-29,1100.430100,0.117200,0.255000,0.497200,0.325300,0.065700,0.099900,-0.107700,-0.005400,-0.009700,0.040000,0.070000,0.029665,0.052005,0.499395
2004-07-30,1101.720000,0.444800,0.286100,0.208900,0.401800,0.283400,0.074400,0.102400,-0.079400,0.008300,0.050000,0.070000,-0.003648,0.052005,0.515706
2004-08-02,1106.620000,-0.626200,0.280300,0.338500,0.267700,0.410100,0.310200,0.127500,0.145300,-0.020800,0.010000,0.080000,0.081054,0.052005,0.494045
2004-08-03,1099.689900,-0.096400,-0.092000,-0.022400,0.096900,0.088300,0.236700,0.175600,0.032500,0.058900,0.020000,0.080000,0.054974,0.033823,0.495023
2004-08-04,1098.630000,-1.632000,-0.363500,-0.093500,-0.040800,0.058300,0.057600,0.189200,0.141500,0.018100,0.030000,0.080000,0.017040,0.033823,0.488455
2004-08-05,1080.700000,-1.548100,-0.871400,-0.790500,-0.479300,-0.359600,-0.223400,-0.183900,-0.038400,-0.055800,0.040000,0.080000,0.053585,0.033823,0.513807
